customer_id,rating,label,sentence
2208104,5,0,yêu tiki
934639,5,0,yêu tiki
7407935,5,0,yên_tâm khi mua hàng tiki
6423454,1,1,vừa_rồi mua một sản_phẩm sạc dự_phòng xiaomi redmi có vấn_đề bên ngoài do bận công_việc nên hai hôm sau mới mở hộp ra xem thì kiểm_tra là hàng cũ liên_hệ tiki thì bảo quá 48h không cho đổi thật quá bất_tiện
6423454,1,1,bên ngoài tem hộp sản_phẩm đã bị bóc có rất nhiều vết trầy_xước bẩn và dính cả dấu vân tay của người nào đó đã sử_dụng
6423454,1,1,hơn nữa túi ni lông có dán keo đã bị bóc ra nhìn rất tệ và phần seal bảo_quản các cổng kết_nối đã bị gỡ đi đâu mất không có trong sản_phẩm
6423454,1,1,chưa kể hàng đã bị trễ mất mấy ngày mà không nhận được thông_báo nào từ phía tiki hay đơn_vị vận_chuyển
6423454,1,1,mình rất tin_tưởng tikitrading đơn hàng trước mình đặt mua đến 03 sản_phẩm như_vậy của tikitrading nhưng tất_cả đều mới có tem ngoài còn seal bảo_quản đầu cắm túi ni lông dán còn nguyên keo trong pin chuẩn hàng mới 100 lần này thì cảm_nhận quá hụt_hẫng và thất_vọng vì hàng như đã sử_dụng hoặc là hàng đổi trả
9879954,5,0,xuất_sắc
7563452,4,0,xuất ra sạc cho ssung j7 prime từ 1 đến 100 được 2 lần mà vẫn còn 1 đèn trên sdp sáng mỗi lần sạc hết 2 5 giờ nhanh hơn nạp bình_thường
10954980,5,0,xưa h tin_tưởng tiki hơn mấy chỗ khác
11513703,5,0,xóp oi tại mình nhìn ko kĩ nên tuong cáp là cáp tyer c
11513703,5,0,xóp có hỗi trợ bán cho mình 1 cáp 3 trong 1 đc ko ạ
2177035,5,0,xong đi đâu bạn cũng mượn xài đã đời chuyền tới chuyền lui rốt_cuộc một đi không trở_lại luôn
5325800,5,0,xịn xò tối r ko chụp sạc đc post ảnh lên đại ace thông_cảm
16707441,5,0,xịn xò luôn
16279074,5,0,xịn xò chuẩn đẹp gói chắc_chắn
6559149,5,0,xin hỏi ko có team thì có được bảo_hành ko ạ địa_chỉ_bảo_hành ở đâu ạ cám_ơn tiki
1119556,4,1,điểm trừ thiết_kế hơi xấu
1119556,4,1,siêu nặng
12048256,4,0,xin hỏi cách dùng vs ạ nút này nghĩa_là j v mk ms dùng nên k p
8620109,5,0,xin cảm_ơn
1431850,5,0,xin cảm_ơn
6247013,5,0,xin cảm_ơn
7051346,5,1,nhược_điểm là tặng cap miro usb chứ ko phải type c khe hở giữa mặt lưng và viền cạnh ko dc đẹp lắm
22140062,5,0,xịn
10084667,5,0,xịn
733174,5,0,xịn
14840227,5,0,xịn
740265,5,0,xin
177022,4,0,xiaomi thì mình thấy khá là bền
7104185,5,0,xiaomi thì chẳng còn gì để chê fan mi từ 2017 chuẩn ko cần chỉnh
13242181,5,0,xiaomi redmi 7a mình sạc được 3 lần sạc rất nhanh cảm_ơn shop
543830,5,0,xiaomi làm pin và đt với giá quá tốt so với cấu_hình và công_nghệ
7248911,5,0,xiaomi gen 2s version 2018 10000 mah 2 cổng usb hỗ_trợ qc 3 0 thời_lượng pin cực trâu sạc cực nhanh
7120528,5,0,xiaomi chính hãng nên an_tâm về chất_lượng sản_phẩm cảm_ơn tiki
1433006,5,0,xiaomi áp_dụng cắt cnc cho cả sản_phẩm_giá rẻ như thế này thật không uổng đồng_tiền bát gạo
1904482,5,0,xem trên nhiều trang shopee lazada và tiki thì mình thấy tiki giá bán cũng tương_đương những hãng kia
7567870,5,0,xaid tốt
783328,5,0,xài tốt sạc được nhiều lần 3 4 lần điện_thoại dung_lượng 4 000
6012462,5,0,xài tốt mè giá cũng rẻ
17112304,4,0,xài tốt mà hơi nặng
10343241,5,1,khối_lượng hơi nặng tí nhé
12871930,5,0,xài tốt ko thấy lỗi ạ
898347,5,0,xài tốt hơi nặng so với mình nghĩ
1011653,5,0,xài tốt đáng mua đóng_gói tốt
13246873,5,0,xài tốt có hỗ_trợ sạc nhanh
922953,4,1,mấy bạn nữ cầm không nổi đâu nên tìm cái nào mỏng nhẹ mà mua nhé mình ra nhận mở hộp mà muốn rụng tay đấy
5555996,5,0,xài tốt có đèn báo mức pin
14788990,5,1,điểm trừ duy_nhất là nó bự với nặng quá nên nếu con_gái bỏ túi_xách nó hơi chiếm diện_tích
693664,5,0,xài tốt
10908233,5,0,xài tốt
20065549,4,0,xài tốt
785824,5,0,xài tốt
5205610,5,0,xài tốt
5569452,4,0,xài tốt
1684491,5,0,xài tới giờ vẫn chưa thấy nổ chắc cũng ổn
1799559,4,0,xài thật_sự chỉ đủ vì đối_với mình thì pin không đủ sạc con máy
2159015,4,0,xài tạm ổn nhưng khi không xài nữa thì một lúc lâu sau nó mới tắt hẳn đèn led không biết có bị gì ko
1732879,5,0,xài sản_phẩm ổn_định chưa thấy dấu_hiệu hư_hại
17416711,5,0,xai rat tot nha_anh
8208117,5,0,xài rất tốt giá rẻ bền
16441798,5,0,xài rất tốt đóng_gói đẹp hàng chất_lượng
613306,5,0,xài rất tốt có chế_độ ngắt sạc khi đầy pin
5366316,5,0,xài rất ổn mình cực_kì hài_lòng về chất_lượng
9944965,5,0,xài rất ổn
3613,5,0,xài rất ok
13064419,5,0,xài rất ok
5850828,2,1,tuy_nhiên sản_phẩm mình nhận được bị lỗi vì dù đã xạc đầy pin nhưng mình ko cắm xạc lại cho điện_thoại được
5850828,2,1,khi cắm xạc thì cả 4 đèn nhấp_nháy liên_tục không vào pin điện_thoại
5850828,2,1,theo như mình đọc trong hướng_dẫn thì đây là báo lỗi
5850828,2,1,mong tiki giải_quyết
23664,5,0,xài ổn_định sạc pin tốt mẫu_mã đẹp màu_sắc trang_nhã kích_thước vừa phải đóng_gói và giao hàng cẩn_thận
10225874,4,1,nhưng không có hiển_thị còn bao_nhiêu phần_trăm pin lúc sạt điện_thoại nháy một lúc 4 đèn khi nào hết pin cái tắt hết một lượt chứ k có vụ còn 3 2 hay 1
10225874,4,1,k hiểu sao 20 000 mà ip xs e sạt được có hai lần hơn xíu là hết ạ
457734,5,0,xài ổn xạc được nhiều lần và nhanh nhưng không được gọn_nhẹ lắm
12616696,5,0,xài ổn ko bi
11376284,4,0,xài ổn đáng đồng_tiền bát gạo
